Date,AAPL,AMZN,GOOGL,MSFT
2022-01-03,178.44314575195312,170.4044952392578,143.9983367919922,324.5046081542969
2022-01-04,176.1783905029297,167.52200317382812,143.410400390625,318.9402770996094
2022-01-05,171.49205017089844,164.35699462890625,136.8312530517578,306.6968994140625
2022-01-06,168.6293182373047,163.25399780273438,136.80392456054688,304.2733459472656
2022-01-07,168.79595947265625,162.5540008544922,136.0784454345703,304.428466796875
2022-01-10,168.81558227539062,161.48599243164062,137.7196044921875,304.6513977050781
2022-01-11,171.64895629882812,165.36199951171875,138.77880859375,305.3397216796875
2022-01-12,172.09011840820312,165.20700073242188,140.46170043945312,308.52899169921875
2022-01-13,168.81558227539062,161.21400451660156,137.6376953125,295.47125244140625
2022-01-14,169.67832946777344,162.13800048828125,138.52505493164062,300.7060241699219
2022-01-18,166.47239685058594,158.91749572753906,135.0664520263672,293.3870849609375
2022-01-19,162.9723663330078,156.2989959716797,134.1909637451172,294.04620361328125
2022-01-20,161.2860565185547,151.66749572753906,132.39434814453125,292.3692321777344
2022-01-21,159.2272491455078,142.64300537109375,129.45860290527344,286.96966552734375
2022-01-24,158.4527130126953,144.54400634765625,129.90802001953125,287.2992248535156
2022-01-25,156.6487579345703,139.98599243164062,126.06551361083984,279.660400390625
2022-01-26,156.56056213378906,138.87249755859375,128.34779357910156,287.62890625
2022-01-27,156.0997314453125,139.6374969482422,128.12135314941406,290.6630554199219
2022-01-28,166.99200439453125,143.97799682617188,132.4375457763672,298.8254089355469
2022-01-31,171.3548126220703,149.57350158691406,134.37667846679688,301.46209716796875
2022-02-01,171.1881561279297,151.19349670410156,136.70114135742188,299.3100280761719
2022-02-02,172.39404296875,150.6125030517578,146.98623657226562,303.8661193847656
2022-02-03,169.5116424560547,138.8455047607422,142.10983276367188,292.0299377441406
2022-02-04,169.22698974609375,157.63949584960938,142.31146240234375,296.5763244628906
2022-02-07,168.51036071777344,157.9355010986328,138.24746704101562,291.7391357421875
2022-02-08,171.62222290039062,161.4134979248047,138.4441375732422,295.23858642578125
2022-02-09,173.04562377929688,161.1894989013672,140.6221160888672,301.68505859375
2022-02-10,168.96192932128906,159.0034942626953,137.67047119140625,293.1253356933594
2022-02-11,165.5457763671875,153.2935028076172,133.36270141601562,286.010009765625
2022-02-14,165.7814178466797,155.16700744628906,134.59767150878906,285.9712219238281
2022-02-15,169.61965942382812,156.510498046875,135.67276000976562,291.27374267578125
2022-02-16,169.38404846191406,158.10049438476562,136.79452514648438,290.933837890625
2022-02-17,165.7814178466797,154.65249633789062,131.63113403320312,282.4146728515625
2022-02-18,164.23036193847656,152.60150146484375,129.50975036621094,279.6947021484375
2022-02-22,161.3050537109375,150.19749450683594,128.92430114746094,279.49072265625
2022-02-23,157.13304138183594,144.82699584960938,126.71403503417969,272.2538146972656
2022-02-24,159.7540283203125,151.35800170898438,131.78208923339844,286.1641845703125
2022-02-25,161.8253631591797,153.7884979248047,133.53846740722656,288.806396484375
2022-02-28,162.09036254882812,153.56300354003906,134.13189697265625,290.244140625
2022-03-01,160.2056121826172,151.14199829101562,133.1431884765625,286.5139465332031
2022-03-02,163.50393676757812,152.05250549316406,133.6497039794922,291.6041259765625
2022-03-03,163.18002319335938,147.89849853515625,132.98231506347656,287.4561767578125
2022-03-04,160.17617797851562,145.64100646972656,131.00296020507812,281.5694580078125
2022-03-07,156.37721252441406,137.4530029296875,125.51282501220703,270.9327697753906
2022-03-08,154.55130004882812,136.01449584960938,126.23385620117188,267.960205078125
2022-03-09,159.96017456054688,139.2790069580078,132.50608825683594,280.24835205078125
2022-03-10,155.6114959716797,146.8175048828125,131.5223846435547,277.4216003417969
2022-03-11,151.89102172851562,145.52450561523438,128.98089599609375,272.05950927734375
2022-03-14,147.8564453125,141.85299682617188,125.0882568359375,268.5333251953125
2022-03-15,152.24441528320312,147.3665008544922,128.31298828125,278.93701171875
2022-03-16,156.661865234375,153.10400390625,132.3675537109375,285.969970703125
